cleaned_comment
bir galatasaray taraftar olarak sylemek isterim ki ben fenerbahe taraftar kadar nankr vefasz bir topluluk daha grmedim aziz yldrm gibi byk bir bakana edilen hakaret ve kfrlerin haddi hesab dahi yok byk bakan 2025 sene boyunca bu kulbe hizmet etti uruna 1 sene hapis yatt ve fenerbaheyi her branta ne kararak ampiyon yapt ama sonu olarak camiada nankrlk ve vefaszlktan baka hibir ey gremiyorum fb taraftarnn sportif baar ynnden vnd neredeyse her ey aziz yldrmn eseridir bugn fb trkiyenin en byk spor kulbdr ya da fb trkiyenin en byk sivil toplum rgtdr diyebilen taraftarlar varsa bunu tamamen aziz yldrma borludurlar bu adam fenerbaheye a atlatt o olmasayd imdiye fenerbahe beiktan bile arkasnda kalr ve 3 takm olarak insanlarn hafzasna kaznrd elbette yanllar ve hatalar oldu bazen geri dnlemeyecek admlar da att ama genele baktmz takdirde aziz yldrm ne fenerbahe taraftar ne de fenerbahe bakan deildi o phesiz fenerbahenin ta kendisiydi yanllar ve dorularyla kendi yolunu izmi ve fenerbaheyi adeta yeniden yaratmt artk aziz yldrm diye biri yok ve fenerbahe nasl bu kadar ykseldiyse gelecek senelerde de o kadar decek ve sradan bir takm olma yolunda ilerleyecektir aziz yldrm zamanndan kalan borlardan da bahsetmek istiyorum uan 3 byklerden borcu olmayan kulp yok ve her birinin borcu milyar liralar am durumda ilerliyor yani aziz yldrm tm yaplan ilerde risk alarak fenerbaheyi bu kadar byk bir kulp haline getirdi eer risk almasayd imdi baktmz zaman bu kadar byk bir kulp gryor olmazdk kendisine ok sayg duyuyorum bizim iin hep mert ve delikanl bir dman olarak hafzalarmzda kalacaksn aziz yldrm
aziz bakan hakl bu ara bo yapmayn
alex her seyim
pavali kpekler
7 yl nce
darda beikta ampiyonluk kutluyor ben burda salya smk seni izliyorum babacm ya ahh
paval kpeklev hdhdhdhdhhdhdhdhdhdh
affet bizi bakan kymetini bilemedik
ampiyon olmusunuz zaten neden baryorsun
teybiyesizlev ahlaksislar pavali kpeklev sizlev fenerbaheli devipsiniz
ah bakanm ne dediysen bir bir doru kyor bilemediler deerini en byk fenerbaheli
fb
alexi yolladnz fenerbaheyi taraftar katleddiniz fenerbahe yle byk bir takmdr ampiyon olsa dahi eletirir
fenerbahe 19 da durdu liverpool da 19u ald umarm 19da durmaz
fenerbahce ananin amii ananin amiii
123 galatasarayl olarak syliyeyim yanl anlamadysam alex iin fenerbaheye faydas olmayaca iin gnderdim diyor alex her ne kadar fbli olsada o ok iyi bir futbolcu nasl gnderilir lan s d
parali garipler daha o seneden baka hep milletin ampiyonluunu izlediler
vay amna koyam bu takmn her eyi faul amk asdklfmasdlkfmasdlkmasdf kutlamaya bak sadkfmlafsdmk
aziz yldrmdaki taaa bak everest bile kk kalr
elex i gnderener
ikebahe
pavali kopekler
sampiyonluk kutlamaya bak rezilbahce
ben kendi ahsima konuuyorum galatasarayl olarak bu adamn deeri bilinmedi
reis kime kzyor
ne oldu ki anlamadm
ne alexmi amk ya
noldu da kzyor
byk baskan
bu yorumu buraya brakyorum bizim taraftar mal adam konuma yapyor ordan ses yapyorsunuz ayp
niye terbiyesizlik etmeyin diyor tezahratlar da ne diyorlar ki
2027 28 de bidaha sampiyon oluriz
bir gs li olarak aziz yldrmn fenerbahe spor kulbne ok emei getiini dnyorum sportif anlamda baarl m deil mi o sizin takdiriniz ancak bu beyefendi bu kulp iin ok aba ve emek harcad yeri geldi sahaya indi yeri geldi soyunma odasna indi yeri geldi antrenmana geldi hereyi fener in iyilii esenlii baars iin yapt istese oturur sesini karmazd unutmayalm ki hibir kulbn televizyonu yokken fenerin vard tesisleri stad sylemiyorum bile ne olursa olsun bu ekilde braklmamalyd
2027 28 de bidaha olcaz gorursunuz
fanatik bursasporlu olarak kendisini zerre sevmem ama kulbne bal sadk byle bir bakan grmedim bu konuda sonsuz sayg duyarm
islikliyanlar gfb ve sonuna kadar haklilar bnce
miladdan nce kainci yil ya bu
bakanm hakkn helal etok gzel yaattn bu fenerbaheye senin gibi bir bakanmz olduu iin gurur duyuyorum
pavali kpeklevvvvv
dn fenerbahe ampiyon olduu halde alex alex diye aziz yldrma svenler bu gn fenerbaheyi rezil ettii halde ali koa tek bir laf etmiyorot paralarn veren var nasl olsa ek otu aziz yldrm batrd de ekil kene paral kpekler sizi
ah be aziz bakan
ikeci aziz ike yapma
bugn buvda fenevbahe ampiyonluunu kutlayov
bunlar fenerbahce taraftari degil bunlar yavsak orospu cocuklari siktirin gidin bu staddan
ali koun baars aziz yldrmn baarsnn i bile etmez seni yuhalayan herkesin neyse
aziz yldrm sen trkiyenin gelmi gemi en byk takm bakansn senin hakkn yediler yanl yaptlar imdi ceza ekiyolar sylediin szlerde sonuna kadar haklsn
""
fb tv doum gnm kutlamad diye sitem etmisin tpk alexin emeklerini bir kalemde hak etmedii biimde gnderdin kendi ipini ektin byk bakan kendine fenerbaheye yakan yapmadn unu ok iyi anladm ne i yaparsan yap tm emeklerin an olur bir kalemde silinebilir buda canl rnei o insanlara paral kopek diyecek kadar ne zenginsin nede karakterlisin sen kimsin stada sokmayacak git evine otur imdi oyle gte boyle yarak
tribnler ne diyor duyamadm
senin anan avcradn erefsiz it alex de souza
kendimi bi an miting de zannettim d
arkadalar adam r syliyemiyor bu nedemek oluyor yani adamda r yok
keke bu senede bakan sen olsan en azndan aziz takm idare ede biliyordu b ali ko b skm yapamiyo 20 senelik by gitti amk
izledike glyom amk
f e n e v i m b e n i
paval kpekler
milattan grntler fenerbahe diye bir kulbn asrlar nce ikeyle satn aldklar ampiyonluk kutlamas
biatc kpekler tepki veremiyor
arka fonda hekimou alyor zlendin baba azizyldrm
amk orda olsaydm alex alex diye barrdm
sizin hayalleriniz bizim gereklerimizdir daha nasl ampiyon kutlamas olur onu bilmiyorsunuz heheheheheheheheheheheheheheheheheheheh
bence sefa reis cinayete kurban gitti ve katili yada azmettiricisi azizdir
hey gidi gnler hey
ahahaha d sizi parali kopekler ahlaksizlar serefsizler hepnizin sampiyonlugunu kutlarim d
1015 yla ayn konumay ali ko da yapar tabi olay alex gibi birey olmaz getiremez o tarz adamlar d
fenerin bu kutlamam diyeyim rezilliinimi diyeyim her neyse de galatasarayin 22nci ampiyonluk kutlamasini izleyince galatasarayin ok byk bir klp olduunu bir kez daha teyit ettim fener alama
byk fenerbahe taraftar erefsiz ve paval kpeksiniz ksa ve net ne rezil takmsnz ulan
adam sonuna kadar hakl
affet babaaa
kafam bozulunca acp izlerim terapi oluyor
afvlakvsla paval kopekle
srnn imdi
gsliyim ama aziz yldrm zledim
faa
ali ko bakan fenerbahe 1 lige
eer gfb iin diyorsa hakl httpsyoutube4kazg0fafw0 bu videoda gfb nin paral kpekleri bilerek gole sevinmiyor
fenevbahce
kralll bakan senin kymetini bilemediler d sksjshh
bilemedik kymetini bilmedik
siktir aziz
byk fenevbahenin yvekli tavaftav
betev ol ikebahe babaniz eses ali ko bakan fenevbahe kmeye
adamin gvenlik sayisini ok merak ediyom amk kendi kulbne bairiyor neymi efendim fener iin hapse girmi dee alexin takima katkisi yokmuydu aq o takimi alex adam etti ayrica takimda ka tane p var onlari kov mk bide adam konumayi kaittan yapiyor mk ali ko en azindan iinden geleni sylyo
nasil bir cesaret lan bu
aln size al ko
sizi stada sokmam paval kpeklev
aziz yldrm daha iyi bakand
""
iste ogn trabzonsporun ampiyonlu alan ikeci erefsiz namussuz fenerbahe
harry potterdaki ron weasleyin tr dublajini aziz baskan yapti sanirim asdjsjsjshjs d
adam taraftarlara paval kpekler diyor fenerliler de adam hakl helal lan bize ne gzel kpek dedidiyor
komedi filmi yeminle ne zaman izlesem glmekten karnma arlar giriyor bi bakan dnn kendi kulbnn sampiyonluk kutlamasnda 80 milyonun izlediigi kutlamada kendi taraftarlarna demediini brakmyor
fenerbahe ve aziz yldrm vizyonu
nce kufrediyo sonra esiz diyo
o baranlar bi daha stada giremiyor
sanane aziz isdedini derler
lan fenerbahemin ampiyonluk kutlamasi bile kaus
volkan el hareketi yapm aq
gtn yiyorsa alma bizi ltfen alma bizi stada aciz yldrm d
ule adam profussionel davranmasi lazim napio adam svuyor
gle gle
ali koc adami madam yapar d
hakkn helal et byk bakan hala kalbimizde bakansn alex zerinden prim yaplmaz
ali kocuyum ama adam hakl
o parali kpekler dediin byk fenerbahe taraftari nasil da gnderdi seni amaddd
ali ko winnnn
bu hikyenin sonu byle mi olacakt
aziz yldrm bitiren konuma
edepsizz
rezillige bak amk hahaha
ulan gen fenerbaheliler d
adamda taak var olm koca trbnlere posta koyuyo amk
adamlar kufur ediyor onlarda alkisliyor aq
adam kfr ediyor salaklar alklyor vallahi bunlar ku beyinli
sizler fenerbahceli degilsiniz sike yapmayi bilmiyovsunuz pavali kvekler
gt ikeciler
vavdav ovav
ahahahahah amk salaklari
r demeyi rende bi
adam trbne kufur edio daha da cogalyorlar bide alklyorlar kk beyinli kanaryalar
105 tevbiyesizlev paval kpeklev
valla biz sahya giriyoz sen k ali ko
159 volkan demirele bakn el hareketi ekiyor djdjdjdj
fenerbahenin bo taraftar
ne cildirttilar beni orada ampiyon olmuuz alexde alex sanki ampiyonluu alex alm oradaki ocuklarn emeine yazk tevbiyesiz paval kopeklev
pavali kpekler
adam hakl amk dahane yapsn adam bende fenerliyim yani adam baya hakl dahane
her yer aziz her yer yldrm
aziz bakan
byk ve kutsal fenerbahce taraftar eefsizle ahlakszla paal kpekle
diye bard sr adam
tevbiyesvlk etvvvvasdasgfdfdfhudbj56e5rtsv
paval kpeklev d
amk ben gsliyim sikerim anti feneri
vavdav
pavali kpekler
paval kpeklev
p a v a l i k p e k l e n d i n i z
tevbiyesizlik etmeyin
ike ike
fenerbahe alehisni kahrini ekyo
bu gn buvada fenevbace ampuyonluunu kutlayooo
haahajaja
tutmayn kk eniteyi
aziz yldrm hakl olsa da slubu yanl bu kadar barmasayd hi kimse o tribnlerin slogann bilmeyecekti ama aziz yldrmn olay kamas doru olmad o gecenin hatrna susmas daha iyi cevap olurdu ha yine sylyorum hakldr ama bu konumann yeri ve sras deildi
adam hakl ampiyon olmuuz alex gitmi alex diye baryorlar
en byk bakan sensin
afedersiniz ama fazla abartmis sanane lan
fenerbaheliyim ama adam hakl
aziz yldrm sen kimsin lan alexsi atyyonlan
kutluyolum
